panel	coarse_label	orthogroup_id	species_count	species	median_within_species_rank	mean_rank_score_difference	minimum_rank_score_difference	species_with_multi_gene_family	representative_genes_by_species	coarse_labels_in_panel	low_coarse_specificity_flag
leaf	photosynthetic_ground_tissue	OG0002588	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	13.0	0.04971615574322641	0.012910095974802971	3	Arabidopsis thaliana: AT2G39730 | Brassica rapa: Bra000144,Bra017055 | Catharanthus roseus: M9H77_03709,M9H77_10996 | Glycine max: GLYMA_02G249600,GLYMA_03G068100,GLYMA_11G221000	1	False
leaf	photosynthetic_ground_tissue	OG0002909	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	13.5	0.040261260932311416	0.007146785967051983	3	Arabidopsis thaliana: AT2G05070,AT3G27690 | Brassica rapa: Bra013183,Bra025297,Bra033022 | Catharanthus roseus: M9H77_04392 | Glycine max: GLYMA_02G305400,GLYMA_14G008000	1	False
leaf	photosynthetic_ground_tissue	OG0006287	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	14.5	0.0244050077162683	0.012208281084895134	2	Arabidopsis thaliana: AT1G08380 | Brassica rapa: Bra018629,Bra031624 | Catharanthus roseus: M9H77_16678 | Glycine max: GLYMA_11G181100,GLYMA_12G092000	1	False
leaf	photosynthetic_ground_tissue	OG0004703	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	26.0	0.023977837059646845	0.010187719017267227	2	Arabidopsis thaliana: AT4G05180,AT4G21280 | Brassica rapa: Bra029563 | Catharanthus roseus: M9H77_25665 | Glycine max: GLYMA_03G114600,GLYMA_07G112000,GLYMA_19G093600	1	False
leaf	photosynthetic_ground_tissue	OG0003912	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	35.5	0.018405828392133117	0.011116646230220795	3	Arabidopsis thaliana: AT3G50820,AT5G66570 | Brassica rapa: Bra012083,Bra037164 | Catharanthus roseus: M9H77_15708 | Glycine max: GLYMA_02G061100,GLYMA_11G061300,GLYMA_16G143600	1	False
leaf	photosynthetic_ground_tissue	OG0007836	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	36.5	0.01908580237068236	0.008832581341266632	0	Arabidopsis thaliana: AT1G31330 | Brassica rapa: Bra014908 | Catharanthus roseus: M9H77_12338 | Glycine max: GLYMA_05G022900	1	False
leaf	photosynthetic_ground_tissue	OG0005977	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	41.0	0.01657805754803121	0.011230519972741604	1	Arabidopsis thaliana: AT5G54270 | Brassica rapa: Bra002999 | Catharanthus roseus: M9H77_22031 | Glycine max: GLYMA_12G219300,GLYMA_13G282000	1	False
leaf	photosynthetic_ground_tissue	OG0002747	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	42.5	0.015108916442841291	0.011409571394324303	2	Arabidopsis thaliana: AT2G40100,AT3G08940,AT5G01530 | Brassica rapa: Bra029732 | Catharanthus roseus: M9H77_22841 | Glycine max: GLYMA_01G115900,GLYMA_03G060300,GLYMA_11G228800	1	False
leaf	photosynthetic_ground_tissue	OG0005070	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	47.5	0.015816160943359137	0.007154741324484348	2	Arabidopsis thaliana: AT1G12900,AT3G26650 | Brassica rapa: Bra019797 | Catharanthus roseus: M9H77_09428 | Glycine max: GLYMA_16G044900,GLYMA_19G106800	1	False
leaf	photosynthetic_ground_tissue	OG0000618	3	Arabidopsis thaliana; Brassica rapa; Glycine max	2.0	0.04450831810633341	0.037963151931762695	3	Arabidopsis thaliana: AT1G67090,AT5G38410,AT5G38420 | Brassica rapa: Bra025431,Bra028174,Bra028181 | Glycine max: GLYMA_08G365300,GLYMA_13G046200,GLYMA_18G296900	1	False
leaf	photosynthetic_ground_tissue	OG0000275	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	4.0	0.04270703469713529	0.029502935707569122	3	Arabidopsis thaliana: AT1G29910,AT1G29920,AT1G29930 | Brassica rapa: Bra005424,Bra005425,Bra010807 | Catharanthus roseus: M9H77_11164,M9H77_11165	1	False
leaf	photosynthetic_ground_tissue	OG0002217	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	17.0	0.026615028580029804	0.010185124352574348	3	Arabidopsis thaliana: AT2G21330,AT4G38970 | Catharanthus roseus: M9H77_05343,M9H77_13588 | Glycine max: GLYMA_04G008300,GLYMA_11G111100,GLYMA_11G111400	1	False
leaf	photosynthetic_ground_tissue	OG0010744	3	Arabidopsis thaliana; Brassica rapa; Glycine max	22.0	0.017337522469460964	0.012709823437035084	1	Arabidopsis thaliana: AT4G10340 | Brassica rapa: Bra037913 | Glycine max: GLYMA_09G154700,GLYMA_10G177200	1	False
leaf	photosynthetic_ground_tissue	OG0008577	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	23.0	0.021392122531930607	0.017595425248146057	1	Arabidopsis thaliana: AT3G54890 | Catharanthus roseus: M9H77_34708 | Glycine max: GLYMA_02G064700,GLYMA_16G145800	1	False
leaf	photosynthetic_ground_tissue	OG0005214	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	24.0	0.02385892067104578	0.012410019524395466	1	Arabidopsis thaliana: AT1G20340,AT1G76100 | Brassica rapa: Bra016470 | Catharanthus roseus: M9H77_18725	1	False
leaf	photosynthetic_ground_tissue	OG0008680	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	25.0	0.01759605761617422	0.00995459221303463	1	Arabidopsis thaliana: AT4G12800 | Catharanthus roseus: M9H77_01095 | Glycine max: GLYMA_09G250800,GLYMA_18G241700	1	False
leaf	photosynthetic_ground_tissue	OG0006397	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	26.0	0.017252251505851746	0.008314892649650574	1	Arabidopsis thaliana: AT1G30380 | Catharanthus roseus: M9H77_11407 | Glycine max: GLYMA_09G087700,GLYMA_15G194300	1	False
leaf	photosynthetic_ground_tissue	OG0007945	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	28.0	0.01805175095796585	0.015209484845399857	1	Arabidopsis thaliana: AT1G61520 | Catharanthus roseus: M9H77_21468 | Glycine max: GLYMA_02G309500,GLYMA_14G003400	1	False
leaf	photosynthetic_ground_tissue	OG0000609	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	41.0	0.013547285770376524	0.009350921958684921	3	Arabidopsis thaliana: AT3G14415,AT3G14420,AT4G18360 | Catharanthus roseus: M9H77_11312,M9H77_21499 | Glycine max: GLYMA_05G141300,GLYMA_05G141400,GLYMA_08G096600	1	False
leaf	photosynthetic_ground_tissue	OG0002666	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	44.0	0.019691896935304005	0.00797899067401886	2	Arabidopsis thaliana: AT1G51400,AT3G21055 | Brassica rapa: Bra001809,Bra018907 | Catharanthus roseus: M9H77_14017	1	False
leaf	photosynthetic_ground_tissue	OG0002834	3	Brassica rapa; Catharanthus roseus; Glycine max	48.0	0.013639002727965513	0.01261934731155634	3	Brassica rapa: Bra010622,Bra011796 | Catharanthus roseus: M9H77_05610,M9H77_32266 | Glycine max: GLYMA_02G217100,GLYMA_08G274400,GLYMA_18G150000	1	False
leaf	photosynthetic_ground_tissue	OG0003748	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	49.0	0.016925446999569733	0.007827318273484707	2	Arabidopsis thaliana: AT1G52230,AT3G16140 | Brassica rapa: Bra014317,Bra021163 | Catharanthus roseus: M9H77_37282	1	False
leaf	photosynthetic_ground_tissue	OG0000040	3	Arabidopsis thaliana; Brassica rapa; Glycine max	51.0	0.011797056222955385	0.007783699780702591	3	Arabidopsis thaliana: AT1G13080,AT1G13090,AT1G13100 | Brassica rapa: Bra019809,Bra025192,Bra032734 | Glycine max: GLYMA_01G078300,GLYMA_03G029900,GLYMA_03G030100	1	False
leaf	photosynthetic_ground_tissue	OG0005306	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	54.0	0.011026569331685701	0.009452354162931442	1	Arabidopsis thaliana: AT1G55670 | Brassica rapa: Bra037104,Bra038011 | Catharanthus roseus: M9H77_14984	1	False
leaf	photosynthetic_ground_tissue	OG0007190	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	60.0	0.01560277957469225	0.006353458389639854	0	Arabidopsis thaliana: AT5G64040 | Brassica rapa: Bra037761 | Catharanthus roseus: M9H77_25397	1	False
leaf	photosynthetic_ground_tissue	OG0005376	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	61.0	0.012984990452726683	0.004387645050883293	1	Arabidopsis thaliana: AT2G13360 | Catharanthus roseus: M9H77_14107 | Glycine max: GLYMA_08G302600,GLYMA_18G116900	1	False
leaf	photosynthetic_ground_tissue	OG0008530	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	66.0	0.013238279148936272	0.009875193238258362	1	Arabidopsis thaliana: AT3G47470 | Catharanthus roseus: M9H77_05016 | Glycine max: GLYMA_04G167900,GLYMA_06G194900	1	False
leaf	photosynthetic_ground_tissue	OG0001847	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	78.0	0.014101624644050995	0.005003754515200853	1	Arabidopsis thaliana: AT1G10960,AT1G60950 | Brassica rapa: Bra031471 | Catharanthus roseus: M9H77_20897	1	False
leaf	photosynthetic_ground_tissue	OG0003234	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	79.0	0.008773299710204205	0.005100782494992018	1	Arabidopsis thaliana: AT2G46820 | Catharanthus roseus: M9H77_33078 | Glycine max: GLYMA_03G261500,GLYMA_07G049000,GLYMA_16G017600	1	False
root	epidermal_system	OG0003584	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	30.0	0.017077309389909107	0.008216088637709618	1	Arabidopsis thaliana: AT3G08580,AT5G13490 | Oryza sativa: Os02g0718900 | Sorghum bicolor: SORBI_3004G259200	1	False
root	epidermal_system	OG0001402	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	33.0	0.017854225511352222	0.009070346131920815	2	Arabidopsis thaliana: AT3G02230,AT3G08900,AT5G15650 | Oryza sativa: Os03g0599800 | Sorghum bicolor: SORBI_3001G173300,SORBI_3003G304600	1	False
root	epidermal_system	OG0000144	3	Arabidopsis thaliana; Glycine max; Oryza sativa	35.0	0.011067426142593225	0.01063004694879055	3	Arabidopsis thaliana: AT2G32830,AT2G38940,AT3G54700 | Glycine max: GLYMA_02G005800,GLYMA_03G162800,GLYMA_10G006700 | Oryza sativa: Os03g0136400,Os03g0150500,Os03g0150600	1	False
root	epidermal_system	OG0005922	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	46.0	0.018261814179519813	0.0105415815487504	2	Arabidopsis thaliana: AT1G53680 | Oryza sativa: Os03g0785900,Os07g0468100,Os09g0367700 | Sorghum bicolor: SORBI_3001G065800,SORBI_3001G065900,SORBI_3002G173200	1	False
root	epidermal_system	OG0000014	3	Arabidopsis thaliana; Glycine max; Oryza sativa	48.0	0.010487631739427647	0.005868405569344759	3	Arabidopsis thaliana: AT1G05700,AT1G07550,AT1G07560 | Glycine max: GLYMA_01G004800,GLYMA_07G013700,GLYMA_07G127100 | Oryza sativa: Os01g0810500,Os01g0810800,Os01g0811001	1	False
root	ground_tissue	OG0000073	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	1.0	0.06797440350055695	0.036984607577323914	3	Arabidopsis thaliana: AT1G12090,AT1G12100,AT1G62510 | Oryza sativa: Os02g0662000,Os02g0662100,Os04g0554500 | Sorghum bicolor: SORBI_3001G304100,SORBI_3001G542000,SORBI_3004G291500	1	False
root	ground_tissue	OG0000202	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	7.0	0.03428869011501471	0.02530214563012123	3	Arabidopsis thaliana: AT2G37170,AT2G37180,AT3G53420 | Oryza sativa: Os02g0629200,Os04g0521100,Os07g0448100 | Sorghum bicolor: SORBI_3002G124700,SORBI_3002G125000,SORBI_3002G125200	1	False
root	ground_tissue	OG0003440	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	13.0	0.028211696383853752	0.01474048849195242	0	Arabidopsis thaliana: AT3G16240 | Oryza sativa: Os06g0336200 | Sorghum bicolor: SORBI_3010G146100	1	False
root	ground_tissue	OG0003914	3	Arabidopsis thaliana; Glycine max; Sorghum bicolor	22.0	0.018788930028676987	0.00447518564760685	3	Arabidopsis thaliana: AT3G50990,AT5G66390 | Glycine max: GLYMA_01G171100,GLYMA_11G072000 | Sorghum bicolor: SORBI_3003G121000,SORBI_3003G121100,SORBI_3003G183300	1	False
root	ground_tissue	OG0001346	3	Arabidopsis thaliana; Glycine max; Sorghum bicolor	28.0	0.025170469501366217	0.007634447421878576	3	Arabidopsis thaliana: AT1G05260,AT3G21770,AT4G11290 | Glycine max: GLYMA_06G302600,GLYMA_06G302700,GLYMA_12G101200 | Sorghum bicolor: SORBI_3004G049800,SORBI_3010G232500	1	False
root	ground_tissue	OG0000560	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	54.0	0.01712426667412122	0.005492096766829491	2	Arabidopsis thaliana: AT1G55330,AT3G13520,AT4G26320 | Oryza sativa: Os05g0541750 | Sorghum bicolor: SORBI_3003G272900,SORBI_3009G215000	1	False
root	ground_tissue	OG0000241	3	Arabidopsis thaliana; Glycine max; Sorghum bicolor	71.0	0.009641442447900772	0.004225101321935654	3	Arabidopsis thaliana: AT2G37040,AT3G10340,AT3G53260 | Glycine max: GLYMA_13G145000,GLYMA_19G182300,GLYMA_20G180800 | Sorghum bicolor: SORBI_3001G160500,SORBI_3004G220300,SORBI_3004G220400	1	False
root	ground_tissue	OG0000266	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	74.0	0.016554584726691246	0.00431891530752182	3	Arabidopsis thaliana: AT1G02500,AT2G36880,AT3G17390 | Oryza sativa: Os01g0293000,Os01g0323600,Os05g0135700 | Sorghum bicolor: SORBI_3003G140000,SORBI_3003G151600,SORBI_3009G033600	2	True
root	root_cap	OG0001929	3	Arabidopsis thaliana; Catharanthus roseus; Sorghum bicolor	51.0	0.026140163342158	0.015250448137521744	3	Arabidopsis thaliana: AT1G14320,AT1G26910,AT1G66580 | Catharanthus roseus: M9H77_01050,M9H77_04439 | Sorghum bicolor: SORBI_3001G177800,SORBI_3004G103700	1	False
root	stele_lineage	OG0001749	5	Arabidopsis thaliana; Catharanthus roseus; Glycine max; Oryza sativa; Sorghum bicolor	19.0	0.029258767887949944	0.006025946699082851	4	Arabidopsis thaliana: AT3G53980,AT5G05960 | Catharanthus roseus: M9H77_10940 | Glycine max: GLYMA_07G139400,GLYMA_18G190000 | Oryza sativa: Os01g0849000,Os04g0415800,Os05g0160300 | Sorghum bicolor: SORBI_3003G356500,SORBI_3005G096101,SORBI_3006G074200	1	False
root	stele_lineage	OG0004505	4	Arabidopsis thaliana; Catharanthus roseus; Oryza sativa; Sorghum bicolor	36.5	0.012790988199412823	0.009469188749790192	2	Arabidopsis thaliana: AT2G16385,AT4G34600 | Catharanthus roseus: M9H77_13513 | Oryza sativa: Os01g0260800 | Sorghum bicolor: SORBI_3002G086800,SORBI_3003G119500,SORBI_3005G110469	1	False
root	stele_lineage	OG0002952	4	Arabidopsis thaliana; Catharanthus roseus; Glycine max; Sorghum bicolor	38.5	0.013608153210952878	0.007104707416146994	3	Arabidopsis thaliana: AT2G45820,AT3G61260 | Catharanthus roseus: M9H77_33270 | Glycine max: GLYMA_03G013400,GLYMA_07G073100,GLYMA_09G261700 | Sorghum bicolor: SORBI_3004G303300,SORBI_3006G159300	1	False
root	stele_lineage	OG0002641	3	Arabidopsis thaliana; Catharanthus roseus; Oryza sativa	6.0	0.035050537437200546	0.015374615788459778	1	Arabidopsis thaliana: AT1G20440,AT1G20450,AT1G76180 | Catharanthus roseus: M9H77_18911 | Oryza sativa: Os02g0669100	1	False
root	stele_lineage	OG0000146	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	8.0	0.03355651721358299	0.025521278381347656	3	Arabidopsis thaliana: AT1G07747,AT1G48750,AT1G64235 | Oryza sativa: Os03g0111300,Os05g0550300,Os05g0550600 | Sorghum bicolor: SORBI_3001G535600,SORBI_3009G221900,SORBI_3009G222000	1	False
root	stele_lineage	OG0003247	3	Arabidopsis thaliana; Catharanthus roseus; Oryza sativa	13.0	0.023490867267052334	0.006949426606297493	2	Arabidopsis thaliana: AT3G05540,AT3G16640 | Catharanthus roseus: M9H77_27519,M9H77_36792 | Oryza sativa: Os11g0660500	1	False
root	stele_lineage	OG0001610	3	Arabidopsis thaliana; Glycine max; Oryza sativa	20.0	0.02689455325404803	0.004669923335313797	3	Arabidopsis thaliana: AT2G21660,AT4G39260 | Glycine max: GLYMA_11G117300,GLYMA_11G117400,GLYMA_11G117500 | Oryza sativa: Os03g0670700,Os12g0632000	1	False
root	stele_lineage	OG0000266	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	23.0	0.017867083971699078	0.01590869016945362	3	Arabidopsis thaliana: AT1G02500,AT2G36880,AT3G17390 | Oryza sativa: Os01g0293000,Os01g0323600,Os05g0135700 | Sorghum bicolor: SORBI_3003G140000,SORBI_3003G151600,SORBI_3009G033600	2	True
root	stele_lineage	OG0003490	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	27.0	0.016301190946251154	0.007150573190301657	2	Arabidopsis thaliana: AT3G62040 | Oryza sativa: Os03g0834050,Os07g0634400 | Sorghum bicolor: SORBI_3001G027300,SORBI_3002G388400	1	False
root	stele_lineage	OG0009426	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	46.0	0.013870975002646446	0.00735396146774292	0	Arabidopsis thaliana: AT5G54940 | Oryza sativa: Os07g0529800 | Sorghum bicolor: SORBI_3002G324200	1	False
root	stele_lineage	OG0000544	3	Arabidopsis thaliana; Catharanthus roseus; Oryza sativa	54.0	0.022078195897241432	0.00771464966237545	2	Arabidopsis thaliana: AT1G02820,AT3G53770,AT4G02380 | Catharanthus roseus: M9H77_01685 | Oryza sativa: Os01g0256500,Os01g0314800	1	False
root	stele_lineage	OG0001283	3	Arabidopsis thaliana; Glycine max; Oryza sativa	62.0	0.011709197424352169	0.006101155653595924	3	Arabidopsis thaliana: AT3G03780,AT5G17920,AT5G20980 | Glycine max: GLYMA_05G090100,GLYMA_13G028400,GLYMA_16G038300 | Oryza sativa: Os12g0623900,Os12g0624000	1	False
root	stele_lineage	OG0000224	3	Arabidopsis thaliana; Glycine max; Oryza sativa	68.0	0.010901129494110743	0.008927792310714722	3	Arabidopsis thaliana: AT1G21890,AT1G44800,AT2G37450 | Glycine max: GLYMA_03G059100,GLYMA_03G172900,GLYMA_04G250600 | Oryza sativa: Os02g0768300,Os06g0210000,Os10g0210500	1	False
root	stele_lineage	OG0001144	3	Arabidopsis thaliana; Catharanthus roseus; Sorghum bicolor	73.0	0.012368596779803434	0.00683937594294548	1	Arabidopsis thaliana: AT5G09810 | Catharanthus roseus: M9H77_13011 | Sorghum bicolor: SORBI_3001G197400,SORBI_3005G047100,SORBI_3008G047000	1	False
vascular	phloem_lineage	OG0002673	4	Arabidopsis thaliana; Glycine max; Oryza sativa; Sorghum bicolor	10.5	0.047970364801585674	0.012244559824466705	1	Arabidopsis thaliana: AT1G54410 | Glycine max: GLYMA_16G037900,GLYMA_16G038000,GLYMA_17G187600 | Oryza sativa: Os03g0655400 | Sorghum bicolor: SORBI_3001G149500	1	False
vascular	phloem_lineage	OG0000050	4	Arabidopsis thaliana; Glycine max; Oryza sativa; Sorghum bicolor	16.0	0.03504100604914129	0.01431493740528822	2	Arabidopsis thaliana: AT2G01050,AT3G57160,AT4G33660 | Glycine max: GLYMA_01G091900,GLYMA_01G107600,GLYMA_01G119200 | Oryza sativa: Os07g0191650 | Sorghum bicolor: SORBI_3002G066400	1	False
vascular	phloem_lineage	OG0000378	4	Arabidopsis thaliana; Glycine max; Oryza sativa; Sorghum bicolor	55.0	0.019838221138343215	0.00807336438447237	4	Arabidopsis thaliana: AT1G77380,AT5G09220,AT5G63850 | Glycine max: GLYMA_04G246400,GLYMA_05G194600,GLYMA_06G116400 | Oryza sativa: Os01g0882800,Os05g0424000,Os11g0195600 | Sorghum bicolor: SORBI_3003G378800,SORBI_3005G072500,SORBI_3008G058900	1	False
vascular	phloem_lineage	OG0009426	3	Glycine max; Oryza sativa; Sorghum bicolor	10.0	0.07648664029935996	0.00926651619374752	1	Glycine max: GLYMA_02G291500,GLYMA_08G316700,GLYMA_14G023300 | Oryza sativa: Os07g0529800 | Sorghum bicolor: SORBI_3002G324200	1	False
vascular	phloem_lineage	OG0003722	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	17.0	0.03370728592077891	0.02462279051542282	2	Arabidopsis thaliana: AT1G31812 | Oryza sativa: Os03g0576600,Os06g0115300,Os08g0162800 | Sorghum bicolor: SORBI_3007G052700,SORBI_3010G012800	1	False
vascular	phloem_lineage	OG0002127	3	Arabidopsis thaliana; Glycine max; Oryza sativa	18.0	0.021049256746967632	0.006071748211979866	2	Arabidopsis thaliana: AT2G21130,AT4G38740 | Glycine max: GLYMA_04G005300,GLYMA_06G005100,GLYMA_11G098700 | Oryza sativa: Os02g0121300	1	False
vascular	phloem_lineage	OG0000515	3	Arabidopsis thaliana; Glycine max; Sorghum bicolor	23.0	0.03463004964093367	0.017611483111977577	3	Arabidopsis thaliana: AT2G18960,AT2G24520,AT4G30190 | Glycine max: GLYMA_04G075100,GLYMA_06G076100,GLYMA_09G056300 | Sorghum bicolor: SORBI_3001G519300,SORBI_3003G436400,SORBI_3006G247100	1	False
vascular	phloem_lineage	OG0000207	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	26.0	0.03801866496602694	0.027721505612134933	2	Arabidopsis thaliana: AT1G05340,AT1G56060,AT2G32190 | Oryza sativa: Os08g0205800 | Sorghum bicolor: SORBI_3003G424500,SORBI_3009G120200	1	False
vascular	phloem_lineage	OG0000275	3	Arabidopsis thaliana; Catharanthus roseus; Glycine max	29.0	0.03313808484623829	0.005976828746497631	3	Arabidopsis thaliana: AT1G29910,AT1G29920,AT1G29930 | Catharanthus roseus: M9H77_11164,M9H77_11165 | Glycine max: GLYMA_05G128000,GLYMA_08G082900,GLYMA_16G165200	1	False
vascular	phloem_lineage	OG0000736	3	Arabidopsis thaliana; Glycine max; Oryza sativa	33.0	0.017241590035458405	0.01502284500747919	3	Arabidopsis thaliana: AT3G02470,AT3G17717,AT3G25570 | Glycine max: GLYMA_01G071300,GLYMA_02G128000,GLYMA_08G255800 | Oryza sativa: Os02g0611200,Os04g0498600,Os09g0424300	1	False
vascular	phloem_lineage	OG0009325	3	Arabidopsis thaliana; Glycine max; Sorghum bicolor	45.0	0.01789051325370868	0.00990623701363802	1	Arabidopsis thaliana: AT2G16740 | Glycine max: GLYMA_11G107800,GLYMA_12G032800 | Sorghum bicolor: SORBI_3004G017800	1	False
vascular	phloem_lineage	OG0001399	3	Glycine max; Oryza sativa; Sorghum bicolor	46.0	0.01893079870690902	0.012399271130561829	3	Glycine max: GLYMA_04G069100,GLYMA_04G069300,GLYMA_06G070500 | Oryza sativa: Os01g0611100,Os05g0574500 | Sorghum bicolor: SORBI_3003G217800,SORBI_3003G238000,SORBI_3009G240400	1	False
vascular	phloem_lineage	OG0003921	3	Catharanthus roseus; Oryza sativa; Sorghum bicolor	60.0	0.020958588148156803	0.016151834279298782	2	Catharanthus roseus: M9H77_11040 | Oryza sativa: Os01g0147900,Os01g0841600,Os03g0754200 | Sorghum bicolor: SORBI_3003G072300,SORBI_3003G352300	1	False
vascular	phloem_lineage	OG0007048	3	Catharanthus roseus; Oryza sativa; Sorghum bicolor	68.0	0.019679751247167587	0.011189354583621025	0	Catharanthus roseus: M9H77_20639 | Oryza sativa: Os03g0685500 | Sorghum bicolor: SORBI_3001G134400	1	False
