section	species	endpoint_id	scope	program	k	permutation_id	order_condition	positive_cells	negative_cells	auroc	average_precision	smd	mean_positive	mean_negative	conditions	auroc_min	auroc_max	smd_min	smd_max	all_auroc_above_chance	all_smd_positive	joint_positive_direction_fraction	full_auroc	partial_exclusion_auroc	partial_minus_full_auroc	full_average_precision	partial_exclusion_average_precision	partial_minus_full_average_precision	full_smd	partial_exclusion_smd	partial_minus_full_smd	coverage	allowed_claim	residual_risk	label_evidence	scoring_layer	interpretation
partial_label_circularity_stress_test	esa	stele_vascular_vs_non_stele	pooled		128	0	immutable_source_order																0.780687052938277	0.780603162877912	-8.389006036502167e-05	0.631537561862019	0.633920969344093	0.002383407482073996	1.03487508443963	1.05415089848031	0.019275814040680128	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	esa	xylem_vs_all_other_root	R1		128	0	immutable_source_order																0.877987246402618	0.87608978710618	-0.001897459296438031	0.295604439985078	0.282289679264023	-0.01331476072105503	1.36696202029369	1.36197332514783	-0.004988695145859978	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	esa	xylem_vs_all_other_root	R2		128	0	immutable_source_order																0.919370508341536	0.908270763766913	-0.011099744574623038	0.523768301288762	0.469653244800051	-0.054115056488710955	1.76894358038013	1.72623124973457	-0.042712330645560126	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	esa	xylem_vs_all_other_root	pooled		128	0	immutable_source_order																0.894943826932031	0.889033268066715	-0.005910558865315996	0.401197035141741	0.367884011503026	-0.03331302363871497	1.5057045760467	1.49883986604245	-0.006864710004250041	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	esa	xylem_vs_other_stele	R1		128	0	immutable_source_order																0.73711757195349	0.731527957817175	-0.005589614136315091	0.334873317448715	0.320571933808618	-0.014301383640097032	0.933555937823253	0.91547449141616	-0.01808144640709297	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	esa	xylem_vs_other_stele	R2		128	0	immutable_source_order																0.846978536288041	0.822418259393095	-0.024560276894945998	0.544180909967104	0.48985093081294	-0.05432997915416399	1.36708644803065	1.28685772795134	-0.08022872007930992	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	esa	xylem_vs_other_stele	pooled		128	0	immutable_source_order																0.782719376097346	0.76899508466021	-0.013724291437135938	0.431394118100014	0.397931728768749	-0.033462389331265	1.10732433930544	1.06850059687796	-0.03882374242747999	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	stele_vascular_vs_non_stele	R1		128	0	immutable_source_order																0.599241957381782	0.59509653287434	-0.0041454245074420415	0.284078705546795	0.273507987726384	-0.010570717820410969	0.471515600915031	0.460783135219065	-0.010732465695965976	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	stele_vascular_vs_non_stele	R2		128	0	immutable_source_order																0.590001753192452	0.585346274887809	-0.004655478304642968	0.300756668212333	0.291385262582972	-0.009371405629361007	0.448518736229016	0.433898544427194	-0.014620191801822002	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	stele_vascular_vs_non_stele	pooled		128	0	immutable_source_order																0.601737611415536	0.597293575040704	-0.004444036374831928	0.288441949729342	0.278561255295507	-0.009880694433834991	0.471462766173235	0.460290456711682	-0.01117230946155301	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	xylem_vs_all_other_root	R1		128	0	immutable_source_order																0.914855911651245	0.906686104223192	-0.008169807428053066	0.616376003697104	0.573695666613172	-0.04268033708393204	1.62558103512988	1.58964437389589	-0.035936661233989975	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	xylem_vs_all_other_root	R2		128	0	immutable_source_order																0.936525625479157	0.933709084499415	-0.0028165409797419327	0.741845163332945	0.708665456803312	-0.03317970652963298	2.02696052199159	2.01755377683559	-0.009406745155999818	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	xylem_vs_all_other_root	pooled		128	0	immutable_source_order																0.925660486967064	0.919838603758335	-0.005821883208729006	0.676476238369659	0.639579370238789	-0.03689686813087001	1.81901347279272	1.79577772673638	-0.023235746056340156	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	xylem_vs_other_stele	R1		128	0	immutable_source_order																0.886107155571378	0.875556247775009	-0.010550907796369025	0.704937399505044	0.671802705685292	-0.03313469381975198	1.51087600059765	1.46892284380789	-0.04195315678975997	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	xylem_vs_other_stele	R2		128	0	immutable_source_order																0.925438215268724	0.922167898015356	-0.003270317253368016	0.822032022205208	0.806987129481531	-0.015044892723677039	1.93854219777916	1.927973302478	-0.010568895301160008	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	sir	xylem_vs_other_stele	pooled		128	0	immutable_source_order																0.905515294682896	0.898278347213325	-0.007236947469571042	0.765200832085417	0.742339944406256	-0.022860887679161057	1.71181049272263	1.68379072627228	-0.028019766450350092	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
