table	field	description	missing_value_policy
Table_S7c_xylem_program_rediscovery.tsv	top100_species_count	Species recurring within their top 100 vascular-xylem markers.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	top100_species	Species supporting top-100 vascular-xylem rediscovery.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	top100_eudicot_count	Rediscovery-supporting eudicot count.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	top100_monocot_count	Rediscovery-supporting monocot count.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	selected_top100_min3	Whether independently rediscovered under the frozen top-100/minimum-3 rule.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	cross_clade_presence_top100	Whether top-100 recurrence includes a eudicot and a monocot.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	single_gene_representatives	Deterministic representatives where available; not proof of one-to-one orthology.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	annotation_class	Availability class of functional annotation.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	function_symbols	Available gene or protein symbols.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	evidence_scope	Maximum scope of the mapped/annotation evidence.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	gap_flags	Semicolon-separated unresolved evidence gaps.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	allowed_claim	Maximum claim supported by the row.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	panel	Frozen anatomical panel.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	coarse_label	Frozen coarse cell-label group.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	orthogroup_id	Frozen orthogroup identifier.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	discovery_species_count_top100	Species count supporting the priority family in frozen top-100 discovery.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	cross_study_family_status	Internal leave-one-study-out expression robustness category.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	heldout_tests	Number of evaluable held-out study tests.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	heldout_positive_fraction	Fraction of held-out tests with positive direction.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	species_with_positive_gene_level_marker	Species containing a positive gene-level family member.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	species_with_single_dominant_pattern	Species classified as having a single-dominant expression pattern.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	species_with_dominance_rows	Species with gene-dominance evidence rows.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	dominant_genes_by_species	Descriptive dominant genes by species; not proof of orthology or substitution.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	supported_tree_pattern	Conservative pattern from clean supported-tree analysis.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	observed_mrca_sh_alrt	SH-aLRT support at the observed dominant-gene MRCA, when available.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	observed_mrca_ultrafast_bootstrap	Ultrafast-bootstrap support at the observed dominant-gene MRCA, when available.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	joint_evidence_status_existing	Existing integrated expression/tree evidence category.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	conservative_evidence_tier	Conservative evidence tier assigned from the available annotation and mapping evidence.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	one_to_one_ortholog_claim	Whether one-to-one orthology is established; expected to remain not_established.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	paralog_substitution_claim	Whether paralog substitution is established; expected to remain not_established.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7d_single_gene_ortholog_evidence_gaps.tsv	main_gap	Principal unresolved evidence limitation.	Blank means unavailable or not applicable; never interpret as zero.
